Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
671--Pig Iron and Iron & Steel Powder,23667382,22495976,28628727,32627218,34075897,35288176,52907380,29693012,45957749,59943430,54126724,51434634,61097108,52418281,52208301
667--Pearls; Precious & Semiprecious Stones,41307919,47216775,48088147,49361652,60422344,59441083,62876891,46222783,52011522,63887387,52593275,50503565,53709321,60992067,49300466
666--Pottery,51563008,53132376,49353022,50736718,45295398,45495354,36947274,26043000,29179472,28279874,26194420,29438867,30617897,30443559,26567712
665--Glassware,124794146,131636214,152290726,155753597,187912837,217766526,209500094,165092455,196358805,201233178,215523315,226590471,219881251,212428627,211690660
664--Glass,130454557,170321216,205920643,203963385,248443427,253138929,264290257,247160177,319692382,300745920,296517117,278881067,380616521,337412798,321688918
663--Mineral Manufactures,225688269,255750105,278744353,307583761,325145771,280554608,276419856,216224263,245874704,289177350,314711602,312546768,367408957,318644473,336320090
662--Clay And Refractory Construction Materials,29486164,39487997,44979037,46220165,43583611,41124228,40848424,23315411,34745909,44163891,40276275,47335957,47842556,51221393,49862781
661--Lime; Cement & Fabricated Construction Materials,11313984,15577236,16647993,9774474,11893118,12438020,14312142,5638768,4572528,7557488,5215697,8343726,7539908,5689829,5169356
659--Floor Coverings,16434063,25570554,26916162,31367675,28073211,24534696,20724237,17851491,20946039,21680875,20333898,20003459,24532868,20411865,25398173
658--Made-Up Articles Of Textile Materials,37042027,46681365,41364895,34510901,35003309,35092802,41354775,29442969,28461517,27872237,35685351,35602989,40124801,39500754,37802962
657--Special Yarns; Special Textile Fabrics; Etc.,155374944,175574127,208642513,197164112,194722950,211099799,203934418,148522245,204898023,241205404,237244771,285896699,309520515,275810341,290980614
656--Tulles; Lace; Embroidery; Ribbons; Trimmings; Etc,12369701,11161955,12428449,12747400,11901903,11597497,11032776,7291708,9153831,11564284,10563969,10891629,13249307,16545505,19779466
655--Knitted Or Crocheted Fabrics,10941918,19162042,17664545,14964343,12976454,12907900,9801747,8417851,10312191,13545600,11736286,16382890,19591965,19039202,18825824
654--Woven Fabrics Of Textile Material; Not Cotton Or,20213247,12970788,14185424,12664225,15433568,12116744,12387765,8091690,9549607,10970958,13149014,12644342,13365867,12546248,11407527
653--Woven Fabrics; Manmade Textile Material,20698209,20749553,22553437,23940075,22441895,25876466,25613080,18155208,22594834,18937458,21834978,25144078,27489060,23346298,23716560
652--Cotton Fabrics; Woven,16261681,14885120,14948095,13949374,12783267,13693059,13509691,8776582,10625658,13070341,14074672,11446676,12573953,12681097,11607762
651--Textile Yarn,90868035,88444614,83401716,100955574,87560502,85924007,76741357,53039461,69751066,86423853,89380013,104709829,103626315,105569043,86002135
642--Paper & Paperboard; Cut To Size Or Shape; Article,101976444,114936584,127817810,123962234,128013338,154191284,153517621,137403116,132363086,134266786,129223929,133652172,150153389,141890839,134993439
641--Paper And Paperboard,434691961,484558817,625003818,663498403,759876396,751224070,800427006,590284906,679642574,736291121,741537393,652171077,612282667,682729549,662783958
635--Wood Manufactures,25048256,27658760,26825873,30361818,40489387,43920181,41387921,29499663,25320432,31717174,29323229,32988013,34196802,32562972,34538685
634--Veneers; Plywood and Particle Board,173318799,130480911,245141524,246421077,187668019,149273178,87260036,81956419,72196484,37688750,60939806,67398566,87822823,101379439,123325389
633--Cork Manufactures,1805493,2186695,1993299,1420626,493382,660377,631820,262752,308267,435792,246238,314116,329747,312718,301514
629--Articles Of Rubber,163554226,182813360,199927635,223174776,221264628,248676607,224210988,181339479,221030646,274619619,294726079,287873035,324384299,315947337,297481240
625--Rubber Tires and Accessories,171768945,169210753,238088667,261417239,258252428,322838223,311967926,232386829,286104782,421331249,443589226,476317842,465452393,465545752,421394417
621--Materials Of Rubber,62572504,66053521,82142827,99308770,107840218,118233345,138466984,119639583,156433388,186809839,202247202,214534175,212167909,214160379,203262768
613--Furskins; Tanned Or Dressed,396133,319050,178203,260634,45532,229505,106058,44426,50412,166451,143639,168638,289336,166860,38169
612--Manufactures Of Leather,20597018,25379949,25741323,27678580,29011266,36019952,36413695,28554293,27827199,28204617,24322803,23246286,22709212,14687717,16438179
611--Leather,33745025,27224441,26211877,23865410,23417795,27523673,24647817,11526505,17497063,18380519,16499577,17683049,27565957,20734913,17783279
599--RESIDUAL PRODUCTS OF THE CHEM/ALLIES IND.; WASTES,17730,0,407681,427196,1077486,807810,752328,142481,302857,1439608,809494,260340,170894,48047,597053
598--Miscellaneous Chemical Products,616844160,670341067,731001443,801888634,831048294,882186140,1069439668,825554239,1067431853,1171809611,1251812267,1479639512,1465775158,1275855769,1312597262
597--Additives For Mineral Oils,49813802,56888411,64263869,70902995,75456634,83207658,86883478,99681875,105929611,116721397,147655835,142053211,133597786,125423547,123979904
593--Explosives And Pyrotechnic Products,10682673,18935456,31408391,32701634,32277532,39522449,26370317,21981401,38517819,31717827,25806334,35787887,60825063,37380560,49891494
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,92052989,116611310,128789040,111808657,112864646,129928700,153533426,130800685,153668372,188790577,251755474,227976594,249848406,260470112,264374261
591--Insecticides; Disinfectants,68156399,96525122,114076098,76939524,59601152,70481386,72274908,57025662,50132171,82142281,111224198,122759331,128123120,159415058,145542942
583--Monofilaments Of Plastics,3437725,4691126,4941695,6532996,9553233,10068885,10853823,7974682,12496166,15833996,16956092,15128491,14626762,15116953,15473580
582--Plates; Sheets; Film; Foil & Strip Of Plastics,310901044,345648045,393888841,395854298,437309969,443577223,405417571,301155180,396642124,451191719,487257490,509503659,559565097,552267184,536279558
581--Tubes; Pipes And Hoses Of Plastics,53497886,66820068,73349994,77883357,86017164,85454220,80145211,69481076,85329596,115942238,132206324,147494100,163299512,150985467,157223251
