Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
711--Steam Or Other Vapor Generating Boilers,-3869268,1311802,-1215108,-4065392,-5201325,-3021336,-15945548,-3809585,-9737973,-3344808,-11739041,-1970460,-6292326,-20332690,-3625654
699--Manufactures Of Base Metal,-223252148,-300545392,-375965960,-349552076,-337222409,-359421274,-369569468,-265232614,-307778833,-363729093,-472394973,-526202133,-587776613,-524945569,-397092531
697--Household Equipment Of Base Metal,-63403943,-65409785,-68231544,-61257148,-55123494,-28053032,-23142849,5915290,18531880,24277742,24841455,21521119,36183444,-539803,-19660499
696--Cutlery,-76346790,-99423416,-101363134,-95950611,-105071218,-96504252,-69559285,-38864845,-68544433,-83870263,-92351238,-88877848,-108547629,-110455894,-108577895
695--Tools For Use In The Hand Or In Machines,-149507459,-166600071,-203943163,-268250640,-352492404,-334572002,-275849563,-162447199,-269175256,-325883781,-422546724,-501080062,-520021491,-484693928,-483210538
694--Nails; Screws; Nuts; Etc;,-76539237,-102596051,-126246192,-133479019,-135842754,-169421535,-153628945,-89088824,-111552703,-182325672,-214224993,-211343348,-258622248,-258088518,-195160091
693--Wire Products & Fencng Grills,-21756513,-25052407,-35886674,-36827073,-50528924,-49627299,-59269437,-42202400,-28192239,-44928881,-51736647,-48489083,-50206327,-53280397,-53605054
692--Metal Containers For Storage Or Transport,-9183004,-8832455,-16035015,-36950292,-30746127,-74377289,-46332703,-27310895,-51369002,-83455675,-168697479,-188945991,-155529675,-157428057,-182397700
691--Metal Structures & Parts; Iron; Steel; Aluminum,-62172446,-84280297,-80690342,-112186811,-133263546,-166674339,-126311136,-132939720,-158921800,-98646500,-149448612,-161870104,-204331002,-278517943,-182754813
689--Miscellaneous Nonferrous Base Metals,-3043168,-13037265,-38568068,-58739068,-109203299,-107440158,-102900138,-15775301,-34612323,-26141840,-75919738,-28632729,-81276561,-77301810,-85136706
687--Tin,48907,-950556,-858625,-2990841,-1388953,348088,-802684,-889558,-67557,-385537,-1087964,61184,-429756,-490924,-584130
686--Zinc,-3583374,-4868770,-3935235,-5427938,1153660,2757532,-2041803,961372,-11762560,-18610123,-20744687,-18572864,-33034756,-24438126,-25924688
685--Lead,-149407,-404814,-1785047,-1112319,556760,-5154444,-7129718,-3668244,-3746550,-3692809,-3853468,-2666598,-2723259,-20365144,-3577234
684--Aluminum,-303031968,-319548074,-399881400,-538209448,-663185670,-582722754,-580485370,-326369275,-388106364,-424693568,-388134596,-346614451,-254502594,-281960619,-276876251
