Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
735--Parts & Access For Metal Work Machine Tools,111979175,117388235,104197665,116358607,138713711,125230917,135537217,82026131,97092883,96161111,91005963,97971004,101986901,102617413,103253365
892--Printed Matter,97530614,103882805,100623302,125997807,132584782,212546056,180166754,135419549,117952528,101248374,95478184,110502379,103523548,98098753,100037674
516--Organic Chemicals,58585389,67413219,76839985,105043887,133224754,83478136,93173468,68530819,76161372,75154769,60554737,87874723,123760750,98554409,99637174
684--Aluminum,37804885,49932664,32768194,50708572,56270318,71996609,90036975,76609442,73713164,102381434,115753384,131541168,140504730,135613123,99526258
512--Alcohols; Phenols & Halogenated Derivatives,60703856,72988666,57199220,66394958,131422985,138786162,105227062,73993868,90480819,119823435,136422238,123562336,130635422,77268742,98479106
683--Nickel,44719389,56046721,30211510,40766467,70377398,128873214,144390198,77294293,96183171,138969259,120124922,123504583,100602577,106527936,97013350
759--Parts For Office Machines & ADP Machines,1071866172,1089071752,897008786,913079022,930440315,871991458,493907414,282185348,239662456,137201148,115230018,130457090,119392854,106526759,96081602
554--Soap; Cleansing And Polishing Preparations,20839231,22939458,27549414,36944078,38913004,49715857,69128046,74887267,78607191,89423635,87997651,93394403,96560984,84900947,95355042
551--Essential Oils; Perfume And Flavor Materials,32733763,35749916,31177169,25952698,33667916,31573829,40930841,43821620,81426315,79451423,101187121,116860599,117182557,110998962,94163114
592--Starches; Inulin & Wheat Gluten; Albumin Substitu,41050817,42530198,48540035,46942206,53304275,60009827,95581178,84545360,121235704,118005818,100682111,115864556,116527876,146941311,92247772
287--Ores & Concentrates Of Base Metals,17198432,37789225,19035928,17877689,40713330,28132967,51360736,7710734,56361996,7342115,41845330,44329543,87732929,66634883,91741905
761--Television Receivers,30910502,45334452,37337450,42932844,30486255,79529829,72264294,45189305,55328853,85031164,55574293,59428356,85870474,64791226,86850101
775--Household Type Electric & Nonelectric Equipment,55537630,70704927,85928825,91047840,90093537,105943000,140362393,106085493,105398781,95260719,102435746,107215149,101499477,96679738,85771920
785--Motorcycles And Cycles; Motorized & Not Motorized,117706309,124585531,75882320,68619463,71445002,103988338,120118101,79529664,92209572,93491081,96439491,97399519,113219990,95095493,84466098
762--Radiobroadcast Receivers,2896186,2571170,7806690,15741224,10693176,11048560,10084064,8002570,19475896,45123120,76283361,136194987,149591288,132110659,81938556
731--Machine Tools Working By Removing Metal Or Other,125885977,138604127,124731772,168592183,226164847,108360099,139284519,68603451,74697445,101587511,106006244,91725538,96631937,75017687,81099826
881--Photographic Apparatus And Equipment,73260927,55711075,80153323,79170190,73361943,105068400,130306640,96493808,117982333,114095182,115511520,102486158,118177802,90350583,77341812
232--Synthetic Rubber and Reclaim Rubber,56336709,77264221,82351208,124362619,137549288,164105946,189373674,96227824,119928006,139642100,115280887,116176546,103520460,83946138,74149856
665--Glassware,55709566,41334200,78500238,60319307,57966733,64997774,55189127,38961326,72687942,84716727,69395785,69023184,74285091,61016377,72812426
629--Articles Of Rubber,62620657,76690101,58692896,50822090,54968264,54535724,46071261,37492255,53925083,58887749,65273437,61254703,65800839,75359204,71117513
821--Furniture & Bedding Accessories,59971075,57940389,39968962,41964061,54018126,48670184,51801864,48606602,58328728,70025784,81494398,70367583,79445975,67997445,70894513
523--Metallic Salts And Peroxysalts Of Inorganic Acids,26626491,84764067,28366857,24723337,33722422,34940692,44009412,30419970,50385479,53153669,53649007,60812833,65703018,55591608,70452456
682--Copper,27427886,33378099,51681439,43043247,67559412,85320822,106415274,80357512,93331403,109197012,89109331,86317659,87134900,69891339,69707000
513--Carboxylic Acids; Halides; & Derivatives,41577090,57288954,72812369,87075292,72896040,143520919,160692169,79795628,97509246,119379375,118480454,91395559,75667981,68497332,66142681
292--Crude Vegetable Materials,43460623,45302940,52264389,43193608,50249772,56668729,71904367,78849859,68445808,78568106,63622792,51496021,56188820,54525591,64022721
679--Iron & Steel Tubes; Pipes & Fittings,28232819,28077973,42487918,45158670,71852594,77021165,98472635,49364852,65228672,68759614,90625568,75562616,73213128,63475578,63580110
531--Synthetic Organic Coloring Matter,50601229,70604434,96755329,97464108,88349522,93085703,85403928,45693723,109727470,75658296,63718275,65366268,71664745,85401638,58093531
689--Miscellaneous Nonferrous Base Metals,32247284,26808935,36786267,46742493,51360421,55573102,72071455,50702363,74254214,107309553,75884803,85726131,79697335,63784574,57765476
675--Alloy Steel Flat-Rolled Products,42951947,54156623,66106192,93061286,93235941,137159844,134811992,68923349,155440190,150166937,124049288,113228639,119282366,89103660,54180599
098--Edible Products And Preparations,17358168,26234093,24118345,30144209,36487932,42930641,51843612,40603739,42088324,42669340,57278514,63028088,64175335,46346080,53989099
658--Made-Up Articles Of Textile Materials,20874148,31917478,38765096,41377120,40698732,45428775,49148801,55849457,57310637,59346403,55460193,56876590,55667246,60170021,53287972
621--Materials Of Rubber,19111975,15277690,16807962,17372920,19866280,30502355,35656209,27622502,42415411,39773214,49779553,44667374,53570121,56833658,53100332
642--Paper & Paperboard; Cut To Size Or Shape; Article,32534576,20187759,27715077,24650578,26074188,34128510,52002212,50499425,59078206,52438755,43626636,45917769,48687668,52333220,52536737
793--Ships; Boats And Floatng Structures,78120624,31839831,56358787,76670976,66578745,75181389,113971852,50981054,54532027,55230025,60342083,44378996,53745844,46504525,51418085
081--Feeding Stuff For Animals,52269688,38247895,42456433,22007343,21458696,29599935,31373066,31912583,49052183,34388893,30564081,53778952,94459955,44397386,50491419
278--Crude Minerals,29635328,27405046,36318859,35543484,79024129,48679072,59969815,48015265,58825308,58638773,51385763,53717644,56124396,48553079,49903851
581--Tubes; Pipes And Hoses Of Plastics,25376601,32822705,29540781,30980110,45443465,43065789,33547512,32056687,47316801,47568515,42056562,37424216,41177479,42209904,49614165
737--Metalworking Machinery,40186079,49372629,54671758,63083306,71834286,67328059,62300519,49563143,61829638,66289159,74618699,59759969,50603166,53074277,47740372
725--Paper Mill And Pulp Mill Machines,29061679,29723012,43132086,45589540,38583529,33929362,44837782,33834683,44690497,48149473,43905514,49337881,49327419,64722770,47534299
597--Additives For Mineral Oils,24163262,20844784,23404426,26758294,32720768,36190311,41071904,27671443,35399888,45174396,53498622,51776047,60452040,57446759,46459054
121--Tobacco; Tobacco Refuse,188250749,159919669,175068211,167946495,222220477,184557114,129613578,81875877,67515234,83261256,71155895,72660007,52180785,58959313,45162912
248--Wood; Simply Worked,26763193,28447434,39696776,44205171,46911902,36854132,30612337,31902362,43430509,51656562,45199337,38708535,47703250,39396597,43246065
692--Metal Containers For Storage Or Transport,18216138,16649247,14481042,23681814,24642889,23252009,28088007,33465332,32435812,32171114,33182155,29368639,60790357,48257929,42547841
667--Pearls; Precious & Semiprecious Stones,24296008,24620956,22918811,23472580,24020738,35568896,29294350,26594498,25816963,38264247,31928998,42643881,55659612,52837727,38906273
786--Trailers & Semi-Trailers,5067153,8484175,14747019,26126913,29747133,23880013,28361329,11284119,11032514,11769718,24305751,20757646,33940835,32783022,38640199
524--Inorganic Chemicals; Precious Metal Compounds,28329039,24013555,29472718,29546155,38425712,63571965,67099473,47294460,76759120,68497644,52232049,57959931,67560697,46580792,37416501
782--Special Purpose Motor Vehicles,21843688,42222298,35541885,68148154,51059293,110640986,107159472,42390485,90301185,48790262,38518442,50789851,57107494,69107933,37239933
726--Printing & Bookbinding Machinery,117865742,93928354,89646412,99573345,95089419,102154179,101833857,60769529,55686993,55306777,63225323,40612698,49550926,46076243,36924669
885--Watches And Clocks,9602439,13605188,16815352,15987902,18180807,22736402,23944792,18402687,21182808,19684273,28628491,25776613,30458148,34408808,33878055
813--Lighting Fixtures And Fittings,24566981,21634960,30210619,23081411,30870221,33271148,34485630,28636360,31297042,35253656,39382509,40443180,44721257,33568705,33638805
593--Explosives And Pyrotechnic Products,11405328,7167753,8638426,10351922,7776542,10063210,19558032,17890896,34727672,33876274,39662512,35209910,36719048,40486620,31933082
671--Pig Iron and Iron & Steel Powder,4315697,11176702,5387043,18043187,17141742,22221012,15439915,7112567,7576708,9329814,24470379,30697843,36450990,33981547,28365180
411--Animal Oils And Fats,129396,612004,365100,360539,526718,1628157,1277962,747036,686579,825771,2776444,7755286,26086212,21133258,28124261
571--Polymers Of Ethylene,21016069,20138142,20367843,68082922,95042836,51976430,45623471,30692223,42283452,31939659,29245260,39546389,43222756,37057616,27640333
058--Fruit Preserved and Fruit Preparations,21978302,23429336,16224313,19834181,18591388,25459800,25398296,26699211,29048572,32158244,21708456,16456460,16602660,32312483,26677037
674--Iron & Natural Steel Flat-Rolled Products,660569,959013,2970459,4490474,2099656,2975713,2525134,8343909,16009467,20157715,10672711,4698963,5832691,4251572,26299266
573--Polymers Of Vinyl Chloride,16572147,19613463,13409954,17718312,18265060,27268567,29656971,18594153,20682094,29528342,21320371,18836371,17305312,22525332,26006742
845--Articles Of Apparel Of Textile Fabrics,23755248,18487473,17436131,17673708,18848166,21934818,31024135,28061673,23726410,31086357,27645839,34603644,33085501,23987411,25201086
011--Meat Of Bovine Animals,3108613,2365935,3267623,3874812,3862743,5550502,11033788,5960413,13289911,21634983,32813301,35029608,35120544,33279257,25012048
